id,address,name,symbol,image_url,coingecko_coin_id,price_usd
eth_0x3c50004f5b98eaf3db1595fbcb2cbaa19df88c93,0x3c50004f5b98eaf3db1595fbcb2cbaa19df88c93,ELON-50🚀,E50,,,
eth_0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,weth,
eth_0x68e0d6e6318a9e4361e55331839160b41f66882c,0x68e0d6e6318a9e4361e55331839160b41f66882c,Digital Collectible,COLLECTI,,,
eth_0x7567705d10ea294004ffbd760d00d89603b8fda8,0x7567705d10ea294004ffbd760d00d89603b8fda8,🍌BananaMoon,🍌BNM,,,
eth_0x0e63b9c287e32a05e6b9ab8ee8df88a2760225a9,0x0e63b9c287e32a05e6b9ab8ee8df88a2760225a9,Pieverse Token,PIEVERSE,https://coin-images.coingecko.com/coins/images/68773/large/pieverse.png?1756546685,pieverse,
eth_0xdac17f958d2ee523a2206206994597c13d831ec7,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether USD,USDT,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,tether,
eth_0x276cedf79b267bbc3f1bdb26161daa906ba09852,0x276cedf79b267bbc3f1bdb26161daa906ba09852,peaq,PEAQ,,,
eth_0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USD Coin,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,usd-coin,
eth_0x38d96fc2695b19064debcaf98db2317f8415a6fc,0x38d96fc2695b19064debcaf98db2317f8415a6fc,Holo,HOT,,,
eth_0xb7d569d63f92e3c0454984b7da4426e83d453e7a,0xb7d569d63f92e3c0454984b7da4426e83d453e7a,Staked Curve Bonds Dollar,sCBD,,,
eth_0x7d9a9bc5646c8b2b89dc72e2fe98b2ce8d737381,0x7d9a9bc5646c8b2b89dc72e2fe98b2ce8d737381,Curve Bonds Dollar,CBD,,,
eth_0x0655977feb2f289a4ab78af67bab0d17aab84367,0x0655977feb2f289a4ab78af67bab0d17aab84367,Savings crvUSD,scrvUSD,https://coin-images.coingecko.com/coins/images/51712/large/scrvusd.jpg?1746671018,savings-crvusd,
eth_0xd1573de52fff44dd92d275e20fdab0296ccff141,0xd1573de52fff44dd92d275e20fdab0296ccff141,STAK,STAK,https://coin-images.coingecko.com/coins/images/71718/large/stak.png?1769060773,stak,
eth_0x2f3de6b0a73d965f810864e3686c1c8ea634c10e,0x2f3de6b0a73d965f810864e3686c1c8ea634c10e,CMTradeX,XCMT,,,
eth_0x10dab3b74e9cb744778156100069a3163accf0af,0x10dab3b74e9cb744778156100069a3163accf0af,Ankr Network,ANKR,,,
eth_0x94b9e8eb135f26cfbad88ed290a9567e7715b91d,0x94b9e8eb135f26cfbad88ed290a9567e7715b91d,Almond Tofu Token,ATT,,,
eth_0x4ff3461e8506c78905b6202698271abdf6d26939,0x4ff3461e8506c78905b6202698271abdf6d26939,River Bloom,RBLM,,,
eth_0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,0x2c974b2d0ba1716e644c1fc59982a89ddd2ff724,Vibe,VIB,https://coin-images.coingecko.com/coins/images/983/large/Viberate.png?1696502096,viberate,
eth_0x6e965a188c10c67e79b4709a93eb1f9750ec16e8,0x6e965a188c10c67e79b4709a93eb1f9750ec16e8,Enjin Coin,ENJ,,,
eth_0xddc5d195b870a27783c6a52c68278673a7610535,0xddc5d195b870a27783c6a52c68278673a7610535,P2P.me,P2P,,,
