id,coin_id,name,symbol,thumb,small,large,market_cap_rank,score
hyperliquid,50882,Hyperliquid,HYPE,https://coin-images.coingecko.com/coins/images/50882/standard/hyperliquid.jpg?1729431300,https://coin-images.coingecko.com/coins/images/50882/small/hyperliquid.jpg?1729431300,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,14,0
bittensor,28452,Bittensor,TAO,https://coin-images.coingecko.com/coins/images/28452/standard/ARUsPeNQ_400x400.jpeg?1696527447,https://coin-images.coingecko.com/coins/images/28452/small/ARUsPeNQ_400x400.jpeg?1696527447,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,39,1
bitcoin,1,Bitcoin,BTC,https://coin-images.coingecko.com/coins/images/1/standard/bitcoin.png?1696501400,https://coin-images.coingecko.com/coins/images/1/small/bitcoin.png?1696501400,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,1,2
kaspa,25751,Kaspa,KAS,https://coin-images.coingecko.com/coins/images/25751/standard/kaspa-icon-exchanges.png?1696524837,https://coin-images.coingecko.com/coins/images/25751/small/kaspa-icon-exchanges.png?1696524837,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,67,3
pudgy-penguins,52622,Pudgy Penguins,PENGU,https://coin-images.coingecko.com/coins/images/52622/standard/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,https://coin-images.coingecko.com/coins/images/52622/small/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,100,4
pi-network,54342,Pi Network,PI,https://coin-images.coingecko.com/coins/images/54342/standard/pi_network.jpg?1739347576,https://coin-images.coingecko.com/coins/images/54342/small/pi_network.jpg?1739347576,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,50,5
aster-2,69040,Aster,ASTER,https://coin-images.coingecko.com/coins/images/69040/standard/_ASTER.png?1757326782,https://coin-images.coingecko.com/coins/images/69040/small/_ASTER.png?1757326782,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,47,6
pippin,51589,pippin,PIPPIN,https://coin-images.coingecko.com/coins/images/51589/standard/pippin_logo.png?1731570163,https://coin-images.coingecko.com/coins/images/51589/small/pippin_logo.png?1731570163,https://coin-images.coingecko.com/coins/images/51589/large/pippin_logo.png?1731570163,246,7
venice-token,54023,Venice Token,VVV,https://coin-images.coingecko.com/coins/images/54023/standard/VVV_Token_Transparent.png?1741856877,https://coin-images.coingecko.com/coins/images/54023/small/VVV_Token_Transparent.png?1741856877,https://coin-images.coingecko.com/coins/images/54023/large/VVV_Token_Transparent.png?1741856877,157,8
aerodrome-finance,31745,Aerodrome Finance,AERO,https://coin-images.coingecko.com/coins/images/31745/standard/token.png?1696530564,https://coin-images.coingecko.com/coins/images/31745/small/token.png?1696530564,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,132,9
ethereum,279,Ethereum,ETH,https://coin-images.coingecko.com/coins/images/279/standard/ethereum.png?1696501628,https://coin-images.coingecko.com/coins/images/279/small/ethereum.png?1696501628,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2,10
robo-token-2,102172005,Fabric Protocol,ROBO,https://coin-images.coingecko.com/coins/images/102172005/standard/fab.png?1772080701,https://coin-images.coingecko.com/coins/images/102172005/small/fab.png?1772080701,https://coin-images.coingecko.com/coins/images/102172005/large/fab.png?1772080701,400,11
aptos,26455,Aptos,APT,https://coin-images.coingecko.com/coins/images/26455/standard/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,https://coin-images.coingecko.com/coins/images/26455/small/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,https://coin-images.coingecko.com/coins/images/26455/large/Aptos-Network-Symbol-Black-RGB-1x.png?1761789140,80,12
solana,4128,Solana,SOL,https://coin-images.coingecko.com/coins/images/4128/standard/solana.png?1718769756,https://coin-images.coingecko.com/coins/images/4128/small/solana.png?1718769756,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,7,13
fetch-ai,5681,Artificial Superintelligence Alliance,FET,https://coin-images.coingecko.com/coins/images/5681/standard/ASI.png?1719827289,https://coin-images.coingecko.com/coins/images/5681/small/ASI.png?1719827289,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,98,14
enjincoin,1102,Enjin Coin,ENJ,https://coin-images.coingecko.com/coins/images/1102/standard/Symbol_Only_-_Purple.png?1709725966,https://coin-images.coingecko.com/coins/images/1102/small/Symbol_Only_-_Purple.png?1709725966,https://coin-images.coingecko.com/coins/images/1102/large/Symbol_Only_-_Purple.png?1709725966,461,15
avalanche-2,12559,Avalanche,AVAX,https://coin-images.coingecko.com/coins/images/12559/standard/Avalanche_Circle_RedWhite_Trans.png?1696512369,https://coin-images.coingecko.com/coins/images/12559/small/Avalanche_Circle_RedWhite_Trans.png?1696512369,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,25,16
siren-2,54479,Siren,SIREN,https://coin-images.coingecko.com/coins/images/54479/standard/siren.png?1739960056,https://coin-images.coingecko.com/coins/images/54479/small/siren.png?1739960056,https://coin-images.coingecko.com/coins/images/54479/large/siren.png?1739960056,89,17
lighter,71121,Lighter,LIT,https://coin-images.coingecko.com/coins/images/71121/standard/lighter.png?1765888098,https://coin-images.coingecko.com/coins/images/71121/small/lighter.png?1765888098,https://coin-images.coingecko.com/coins/images/71121/large/lighter.png?1765888098,135,18
dogecoin,5,Dogecoin,DOGE,https://coin-images.coingecko.com/coins/images/5/standard/dogecoin.png?1696501409,https://coin-images.coingecko.com/coins/images/5/small/dogecoin.png?1696501409,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,10,19
comedian,51100,Comedian,BAN,https://coin-images.coingecko.com/coins/images/51100/standard/ban.jpg?1730085215,https://coin-images.coingecko.com/coins/images/51100/small/ban.jpg?1730085215,https://coin-images.coingecko.com/coins/images/51100/large/ban.jpg?1730085215,335,20
berachain-bera,25235,Berachain,BERA,https://coin-images.coingecko.com/coins/images/25235/standard/BERA.png?1738822008,https://coin-images.coingecko.com/coins/images/25235/small/BERA.png?1738822008,https://coin-images.coingecko.com/coins/images/25235/large/BERA.png?1738822008,219,21
sui,26375,Sui,SUI,https://coin-images.coingecko.com/coins/images/26375/standard/sui-ocean-square.png?1727791290,https://coin-images.coingecko.com/coins/images/26375/small/sui-ocean-square.png?1727791290,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,30,22
layerzero,28206,LayerZero,ZRO,https://coin-images.coingecko.com/coins/images/28206/standard/ftxG9_TJ_400x400.jpeg?1696527208,https://coin-images.coingecko.com/coins/images/28206/small/ftxG9_TJ_400x400.jpeg?1696527208,https://coin-images.coingecko.com/coins/images/28206/large/ftxG9_TJ_400x400.jpeg?1696527208,108,23
monad,38927,Monad,MON,https://coin-images.coingecko.com/coins/images/38927/standard/mon.png?1766029057,https://coin-images.coingecko.com/coins/images/38927/small/mon.png?1766029057,https://coin-images.coingecko.com/coins/images/38927/large/mon.png?1766029057,152,24
sonic-3,38108,Sonic,S,https://coin-images.coingecko.com/coins/images/38108/standard/200x200_Sonic_Logo.png?1734679256,https://coin-images.coingecko.com/coins/images/38108/small/200x200_Sonic_Logo.png?1734679256,https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,195,25
pepe,29850,Pepe,PEPE,https://coin-images.coingecko.com/coins/images/29850/standard/pepe-token.jpeg?1696528776,https://coin-images.coingecko.com/coins/images/29850/small/pepe-token.jpeg?1696528776,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,52,26
velo,12538,Velo,VELO,https://coin-images.coingecko.com/coins/images/12538/standard/Logo_200x_200.png?1696512350,https://coin-images.coingecko.com/coins/images/12538/small/Logo_200x_200.png?1696512350,https://coin-images.coingecko.com/coins/images/12538/large/Logo_200x_200.png?1696512350,313,27
terra-luna,8284,Terra Luna Classic,LUNC,https://coin-images.coingecko.com/coins/images/8284/standard/01_LunaClassic_color.png?1696508486,https://coin-images.coingecko.com/coins/images/8284/small/01_LunaClassic_color.png?1696508486,https://coin-images.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1696508486,165,28
pendle,15069,Pendle,PENDLE,https://coin-images.coingecko.com/coins/images/15069/standard/Pendle_Logo_Normal-03.png?1696514728,https://coin-images.coingecko.com/coins/images/15069/small/Pendle_Logo_Normal-03.png?1696514728,https://coin-images.coingecko.com/coins/images/15069/large/Pendle_Logo_Normal-03.png?1696514728,168,29
